	[run number]	density	probability-of-spread	percentage burned
probability-of-spread:				Average:
	185	65	90	99.81389881972670
	186	65	90	99.85828426222300
	187	65	90	99.82153770932650
	188	65	90	99.79304131869200
	189	65	90	99.87528732821440
	190	65	90	99.82141546590990
95				99.8993484432184
	191	65	95	99.88000195915170
	192	65	95	99.91452991452990
	193	65	95	99.89459234201110
	194	65	95	99.92175082528430
	195	65	95	99.91429760767890
	196	65	95	99.91980364042870
	197	65	95	99.8802453747831
	198	65	95	99.86346458612700
	199	65	95	99.88489138154830
	200	65	95	99.91990680064080
100				99.93207167322390
	201	65	100	99.90974068743450
	202	65	100	99.94142341111000
	203	65	100	99.94887027658750
	204	65	100	99.89980204794840
	205	65	100	99.92213922479870
	206	65	100	99.91454660872110
	207	65	100	99.95103679584790
	208	65	100	99.94835726932910
	209	65	100	99.96337622384450
	210	65	100	99.92142418661760
