	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
slow-to-burn-ratio:					
0					
probability-of-spread:					Average:
70					97.80957667854720
	851	60	70	20	97.94603727757540
	852	60	70	20	97.83835333386320
	853	60	70	20	97.88582397643900
	854	60	70	20	98.03630974434980
	855	60	70	20	97.87486174751150
	856	60	70	20	97.62068782788410
	857	60	70	20	97.84649657879380
	858	60	70	20	97.46307512485390
	859	60	70	20	97.73033886199510
	860	60	70	20	97.85378231220600
75					98.6123830019412
	911	60	75	20	98.5220242187087
	912	60	75	20	98.60891558646850
	913	60	75	20	98.78306878306880
	914	60	75	20	98.38778220451530
	915	60	75	20	98.75075771552070
	916	60	75	20	98.81257091590360
	917	60	75	20	98.59667633869690
	918	60	75	20	98.37140439932320
	919	60	75	20	98.59641717014490
	920	60	75	20	98.69421268706130
80					99.0733183905761
	971	60	80	20	99.0311455124661
	972	60	80	20	98.98388505199650
	973	60	80	20	99.03917416622550
	974	60	80	20	99.15410561821440
	975	60	80	20	98.82778235559930
	976	60	80	20	99.15977488308190
	977	60	80	20	99.09660036452970
	978	60	80	20	99.07649969569470
	979	60	80	20	99.21405211520200
	980	60	80	20	99.15016414275120
85					99.41562730986640
	1031	60	85	20	99.44123771118320
	1032	60	85	20	99.34792980968030
	1033	60	85	20	99.48878234842270
	1034	60	85	20	99.38186448771690
	1035	60	85	20	99.37415471107690
	1036	60	85	20	99.42687383337280
	1037	60	85	20	99.38525133151380
	1038	60	85	20	99.43357772425290
	1039	60	85	20	99.56162357725720
	1040	60	85	20	99.31497756418770
90					99.6050325929721
	1091	60	90	20	99.61836079380950
	1092	60	90	20	99.63297872340430
	1093	60	90	20	99.61596525147660
	1094	60	90	20	99.64413749472800
	1095	60	90	20	99.55387783115990
	1096	60	90	20	99.65235390902820
	1097	60	90	20	99.57631606821310
	1098	60	90	20	99.52257174685690
	1099	60	90	20	99.6404399323181
	1100	60	90	20	99.5933241787261
95					99.7383527792606
	1151	60	95	20	99.76398207324510
	1152	60	95	20	99.70220055343260
	1153	60	95	20	99.7841196293176
	1154	60	95	20	99.64702473461000
	1155	60	95	20	99.71371769383700
	1156	60	95	20	99.7677242253075
	1157	60	95	20	99.75405283897070
	1158	60	95	20	99.7161050676572
	1159	60	95	20	99.78622327790970
	1160	60	95	20	99.74837769831810
100					99.8262863436533
	1211	60	100	20	99.83862433862430
	1212	60	100	20	99.85169098757910
	1213	60	100	20	99.83309047555970
	1214	60	100	20	99.763894415705
	1215	60	100	20	99.84669873658610
	1216	60	100	20	99.84312265681090
	1217	60	100	20	99.7499802615996
	1218	60	100	20	99.83071470137020
	1219	60	100	20	99.84696166125760
	1220	60	100	20	99.85808520144020
40					
probability-of-spread:					Average:
0					0.231174040895484
	21	60	0	40	0.1931216931216930
	22	60	0	40	0.27391431534718000
	23	60	0	40	0.209360258652674
	24	60	0	40	0.23625147657172900
	25	60	0	40	0.25335163095112400
	26	60	0	40	0.24365697335664000
	27	60	0	40	0.22694885733889300
	28	60	0	40	0.23717289904340300
	29	60	0	40	0.2293759392549240
	30	60	0	40	0.208586365316576
5					0.28753969553034
	81	60	5	40	0.2850732479873300
	82	60	5	40	0.28081701857101200
	83	60	5	40	0.2755404832556170
	84	60	5	40	0.3108617192233730
	85	60	5	40	0.3053799989378090
	86	60	5	40	0.2941253709393630
	87	60	5	40	0.31739314430808300
	88	60	5	40	0.25696725654339300
	89	60	5	40	0.244949561461269
	90	60	5	40	0.30428915407615200
10					0.347901187370164
