"BehaviorSpace results (NetLogo 6.3.0)"
"Fire.nlogo"
"Critical density example"
"02/03/2023 01:46:32:253 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","resultants?","probability-of-spread","west-wind-speed","slow-to-burn-ratio","slow-to-burn?","south-wind-speed","burning-neighbors-needed","road?","[step]","((count patches with [pcolor = 11.5] ) / initial-trees) * 100"
"190","95","false","60","10","20","true","0","1","false","253","99.94492473046496"
"189","95","false","60","10","20","true","0","1","true","273","99.94633303704697"
"191","96","false","60","10","20","true","0","1","true","275","99.93869401686743"
"194","97","false","60","10","20","true","0","1","false","254","99.94763883889125"
"192","96","false","60","10","20","true","0","1","false","254","99.9502528811873"
"193","97","false","60","10","20","true","0","1","true","273","99.96227034120734"
"196","98","false","60","10","20","true","0","1","false","253","99.9675861398334"
"195","98","false","60","10","20","true","0","1","true","272","99.95942348893074"
"197","99","false","60","10","20","true","0","1","true","270","99.9646563634611"
"198","99","false","60","10","20","true","0","1","false","255","99.97271968675781"
"200","100","false","60","10","20","true","0","1","false","253","99.96031809018905"
"199","100","false","60","10","20","true","0","1","true","272","99.95228704116037"
